GEO_ID,NAME,S1401_C01_022E
39001,"Adams County, Ohio",301
39003,"Allen County, Ohio",2515
39005,"Ashland County, Ohio",1585
39007,"Ashtabula County, Ohio",1154
39009,"Athens County, Ohio",7212
39011,"Auglaize County, Ohio",706
39013,"Belmont County, Ohio",931
39015,"Brown County, Ohio",407
39017,"Butler County, Ohio",11162
39019,"Carroll County, Ohio",304
39021,"Champaign County, Ohio",484
39023,"Clark County, Ohio",2587
39025,"Clermont County, Ohio",2963
39027,"Clinton County, Ohio",878
39029,"Columbiana County, Ohio",1298
39031,"Coshocton County, Ohio",397
39033,"Crawford County, Ohio",510
39035,"Cuyahoga County, Ohio",22973
39037,"Darke County, Ohio",745
39039,"Defiance County, Ohio",832
39041,"Delaware County, Ohio",4444
39043,"Erie County, Ohio",923
39045,"Fairfield County, Ohio",2680
39047,"Fayette County, Ohio",316
39049,"Franklin County, Ohio",29306
39051,"Fulton County, Ohio",643
39053,"Gallia County, Ohio",480
39055,"Geauga County, Ohio",1409
39057,"Greene County, Ohio",5774
39059,"Guernsey County, Ohio",648
39061,"Hamilton County, Ohio",17786
39063,"Hancock County, Ohio",1753
39065,"Hardin County, Ohio",1274
39067,"Harrison County, Ohio",114
39069,"Henry County, Ohio",398
39071,"Highland County, Ohio",665
39073,"Hocking County, Ohio",333
39075,"Holmes County, Ohio",311
39077,"Huron County, Ohio",899
39079,"Jackson County, Ohio",225
39081,"Jefferson County, Ohio",1426
39083,"Knox County, Ohio",2096
39085,"Lake County, Ohio",3915
39087,"Lawrence County, Ohio",864
39089,"Licking County, Ohio",3708
39091,"Logan County, Ohio",615
39093,"Lorain County, Ohio",5612
39095,"Lucas County, Ohio",7929
39097,"Madison County, Ohio",552
39099,"Mahoning County, Ohio",4117
39101,"Marion County, Ohio",856
39103,"Medina County, Ohio",2713
39105,"Meigs County, Ohio",361
39107,"Mercer County, Ohio",712
39109,"Miami County, Ohio",1651
39111,"Monroe County, Ohio",135
39113,"Montgomery County, Ohio",10795
39115,"Morgan County, Ohio",164
39117,"Morrow County, Ohio",456
39119,"Muskingum County, Ohio",1492
39121,"Noble County, Ohio",131
39123,"Ottawa County, Ohio",580
39125,"Paulding County, Ohio",276
39127,"Perry County, Ohio",591
39129,"Pickaway County, Ohio",870
39131,"Pike County, Ohio",426
39133,"Portage County, Ohio",6758
39135,"Preble County, Ohio",592
39137,"Putnam County, Ohio",599
39139,"Richland County, Ohio",1715
39141,"Ross County, Ohio",1022
39143,"Sandusky County, Ohio",898
39145,"Scioto County, Ohio",1548
39147,"Seneca County, Ohio",1747
39149,"Shelby County, Ohio",768
39151,"Stark County, Ohio",6880
39153,"Summit County, Ohio",9793
39155,"Trumbull County, Ohio",2695
39157,"Tuscarawas County, Ohio",1122
39159,"Union County, Ohio",881
39161,"Van Wert County, Ohio",431
39163,"Vinton County, Ohio",146
39165,"Warren County, Ohio",4096
39167,"Washington County, Ohio",1106
39169,"Wayne County, Ohio",2550
39171,"Williams County, Ohio",496
39173,"Wood County, Ohio",5912
39175,"Wyandot County, Ohio",311
