STUSPS,GENERATION(MWH)
AK,683055
AL,26655068
AR,23313201
AZ,23217974
CA,240456
CO,25320503
CT,53052
DE,119120
FL,21248194
GA,25245308
HI,1301946
IA,22159203
ID,21008
IL,48788322
IN,60761806
KS,17314601
KY,51714430
LA,7418814
MA,0
MD,5721573
ME,71054
MI,37341489
MN,17804538
MO,55686285
MS,4414340
MT,14100662
NC,30672101
ND,25151437
NE,20385423
NH,343015
NJ,1041529
NM,14691665
NV,2735457
NY,421951
OH,46764529
OK,7826057
OR,2569160
PA,37928930
RI,0
SC,14861495
SD,2617071
TN,18692168
TX,91816735
UT,25241026
VA,3418111
VT,0
WA,7170102
WI,26335390
WV,58181629
WY,35375828
